,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FractionCSP3,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolMR,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,VSA_EState10,VSA_EState8,VSA_EState9,D_OH,D_NH2,D_O-CH3,D_1,D_2,D_3,D_4,D_5,D_6,D_7,D-§Ý C=C,D-§Ý C¡ÔC,D-§Ý Ring,§Ý_1§Ý,§Ý_2,§Ý_3,§Ý_4,§Ý_5,§Ý_6,§Ý_7,§Ý_8,§Ý_9,§Ý_C=C,§Ý_C¡ÔC,§Ý_A_C=C,§Ý_A Ring,A_1,A_2,A_3,A_4,A_5,A_6,A_7,A_8,A_9,A_10,A_11,A_12,C_§Ý,C_D,C_A,C,D->C=C<,D-N(6ring),D-N(5ring),D-N<(-Ring),D-N<(Ring),A->C=C<,A-CN3,A-N(TCF),A-N(6ring),A-N(5ring),A-C=O,A-C=C,pai-N(Thiophene),pai-N(Thiazole),pai-N(benzene),,,,
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=C(CCCC)C(CCCC)=C(/C=C/C4=CC=C(/C=C/C5=CC=C(N(C)C)C=C5)C=C4)S3)=O,1.491,1972.491,34.045,28.216,29.032,23.375,16.668,17.484,12.22,13.304,8.685,9.872,5.99,7.236,0,15.318,11.356,22.273,60.092,21.691,17.403,50.509,91.582,0,647.297,0.233,-5.23,64346232938,34.114,16.051,7.657,288.849,13.703,0.378,13.703,0.194,0.03,0.194,-0.134,-0.378,203.505,240,4.9,17.712,5.783,0,0,0,4.795,0,10.524,11.337,105.581,83.349,46.247,0,4.795,58.761,10.524,0,0,52.372,18.995,132.641,12.138,67.89,1.696,0,100.47,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,7,18,0,1,0,1,0,1,2,0,1,1,1,1,1,0,1,10.2452,823.78,1.906783368,11.36631898
CC(O/1)(C)C(/C=C/C2=CC=C(/C=C/C3=CC=C(S3)/C=C/C4=CC=C(C=C4)N5C6=CC=CC=C6C7=C5C=CC=C7)S2)=C(C#N)C1=C(C#N)\C#N,1.03,2457.515,33.959,26.715,28.348,23.878,15.596,17.229,11.882,14.176,8.357,10.389,6.02,7.653,5.601,15.786,16.905,5.573,25.882,26.683,22.674,44.204,125.936,4.737,668.17,0.071,-6.17,1.98E+11,31.43,13.147,6.155,292.342,9.767,0.48,9.767,0.172,0.047,0.172,-0.835,-0.48,202.364,234,9.304,29.382,11.332,0,0,0,0,0,15.786,22.674,60.683,92.246,41.542,11.033,4.737,74.86,15.786,4.567,0,19.449,0,150.688,23.895,85.53,3.358,2.327,101.565,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,5,21,2,3,1,0,1,0,3,1,0,1,0,0,2,0,0,15.2252,880.09,1.948008616,11.35528907
N#C/C(C1=CN=C(N=C1)/C=C/C2=CC3=CC=C(N(CC)CC)C=C3O2)=C(C#N)/C#N,1.832,1226.061,21.51,16.625,16.625,14.626,9.366,9.366,6.292,6.292,4.594,4.594,3.019,3.019,0,5.262,11.146,17.148,29.746,12.394,24.29,24.268,34.782,14.941,394.154,0.174,-4.41,7589597.507,20.327,9.189,4.192,173.977,9.193,0.457,9.193,0.151,0.045,0.151,-0.268,-0.457,114.494,146,9.317,35.124,5.824,0,0,0,0,9.968,15.786,0,0,44.199,48.187,5.573,4.417,34.382,15.786,9.968,0,13.847,17.989,59.38,18.208,113.53,0,5.918,67.415,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,4,4,12,1,1,1,1,0,0,3,0,0,0,0,0,0,0,0,13.1251,498.43,1.753909808,11.35477188
CCN(C1=CC=C2C(OC(/C=C/C3=CC=C(S3)/C=C/C4=CC=C(S4)/C=C/C(C(O/5)(C)C)=C(C#N)C5=C(C#N)\C#N)=C2)=C1)CC,1.26,1970.354,31.269,24.919,26.552,21.275,14.193,15.826,10.464,12.758,7.249,9.281,4.979,6.612,5.601,15.786,16.905,5.573,49.328,5.687,22.674,56.347,79.443,9.154,614.181,0.194,-5.07,8766126612,30.39,13.062,6.457,265.198,9.733,0.48,9.733,0.172,0.046,0.172,-0.833,-0.48,181.358,218,14.054,40.725,11.332,0,0,0,0,0,15.786,22.674,6.076,100.54,55.311,0,9.154,69.71,15.786,0,0,33.296,17.989,102.354,18.208,96.98,3.322,6.106,88.989,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,4,5,16,1,1,1,1,0,0,3,1,0,1,0,0,2,0,0,15.566,813.64,1.889857886,11.35396616
CC(O/1)(C)C(/C=C/C2=NC=C(S2)/C=C/C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)=C(C#N)C1=C(C#N)\C#N,1.34,1787.063,29.529,23.022,23.839,20.429,13.143,13.959,9.806,10.9,6.619,7.547,4.606,5.33,5.601,15.786,16.905,5.573,32.51,11.337,26.12,66.765,64.484,4.737,563.178,0.086,-5.68,3983275048,27.871,12.232,5.906,248.859,9.722,0.48,9.722,0.172,0.025,0.172,-0.862,-0.48,167.256,202,9.637,34.389,11.332,0,0,0,0,4.984,15.786,11.337,60.683,67.961,33.709,0,4.737,46.627,15.786,4.984,0,19.449,4.9,135.129,18.208,96.73,1.507,0,94.243,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,9,5,18,0,3,0,1,0,0,3,1,0,1,0,0,0,1,0,16.5995,690.55,1.869530982,11.34248156
CC(C(F)(F)F)(O/C1=C(C#N)\C#N)C(/C=C/C2=NC=C(/C=C/C3=NC=C(S3)C4=CC=C(N(C5=C6SC=C5OC)C7=C6SC=C7OC)C=C4)S2)=C1C#N,1.11,2559.585,36.786,27.103,30.369,25.042,14.999,18.391,11.137,15.053,8.236,12.234,5.65,9.37,34.256,28.957,0,9.885,66.068,40.888,61.432,28.969,26.668,14.211,770.051,0.139,-5.7,5.54E+11,34.736,13.45,5.739,309.476,14.131,0.494,14.131,0.432,0.365,0.432,-4.948,-0.494,197.259,258,18.778,44.829,22.831,5.601,0,6.176,0,9.968,28.957,45.347,18.209,42.848,39.291,28.497,27.382,84.008,15.786,14.535,0,18.701,14.22,90.866,45.835,129.77,5.986,44.563,83.951,0,0,2,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,7,5,18,2,1,3,0,1,0,3,1,0,1,0,0,0,2,0,13.9063,815.2,1.574804473,11.34050377
CC(C(F)(F)F)(C(/C=C/C1=CC=C(C#CC2=CN=C(N=C2)C3=CC=C(C=C3)N(C)C)C=C1)=C/4C#N)OC4=C(C#N)/C#N,1.541,1770.8,30.493,22.654,22.654,20,12.358,12.358,9.403,9.403,6.418,6.418,3.989,3.989,34.256,18.433,0,22.515,24.251,18.214,42.728,43.261,21.809,15.261,562.173,0.156,-5.84,1727209305,29.15,11.723,5.846,240.296,13.986,0.47,13.986,0.432,0.503,0.432,-4.926,-0.47,149.687,206,9.637,23.781,17.157,5.601,0,6.176,0,9.968,28.957,0,36.126,48.885,48.876,5.563,17.908,11.763,15.786,9.968,0,18.701,18.995,106.169,41.436,109.62,0,41.957,73.21,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3,5,16,0,1,0,1,0,0,3,1,0,1,0,0,0,0,1,16.5669,656.63,1.79875417,11.33720835
COC(C=C1)=CC=C1N(C2=CC=C(C=C2)OC)C(C=C3)=CC=C3/C=C/C4=CN=C(C(/C=C(C#N)/C#N)=C(C#N)\C#N)S4,1.62,1744.103,29.899,22.646,23.462,20.524,12.421,13.237,8.518,9.58,6.029,7.025,3.931,4.772,0,10.524,16.719,5.008,39.002,17.413,32.555,97.087,9.884,19.998,566.152,0.061,-6.13,3422625415,28.867,13.784,6.706,247.33,9.352,0.497,9.352,0.139,0.143,0.139,-0.225,-0.497,162.726,202,14.374,51.93,0,0,0,0,0,4.984,21.048,11.337,18.209,78.379,33.709,14.22,9.474,46.124,21.048,4.984,0,0,19.12,111.664,35.776,129.75,1.241,0,100.926,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,9,6,18,0,3,0,1,0,0,4,0,0,0,0,0,0,1,0,15.0388,631.49,1.394719528,11.33708838
CC(C(F)(F)F)(O/C1=C(C#N)/C#N)C(/C=C/C2=CC=C(/C=C/C3=CN=C(N=C3)/C=C/C4=CC=C(N(C5=C6SC=C5)C7C6SC=C7)C=C4)S2)=C1C#N,1.007,2310.52,35.752,26.497,28.947,24.628,15.337,17.976,11.583,14.73,8.51,11.786,5.894,8.987,34.256,28.957,0,21.993,34.691,40.116,30.596,47.403,62.064,4.737,732.105,0.132,-5.65,3.91E+11,33.829,13.577,6.302,303.137,14.095,0.47,14.095,0.432,0.342,0.432,-4.922,-0.47,195.837,250,9.637,23.781,17.157,5.601,0,6.176,0,9.968,28.957,34.435,36.437,71.835,43.849,16.979,17.908,76.19,15.786,9.968,0,29.993,4.9,131.86,18.208,109.62,5.008,42.286,82.373,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,5,5,18,2,1,3,0,1,0,3,1,0,1,0,0,1,0,0,15.5922,833.2,1.557688512,11.32910756
CC(O/C1=C(C#N)/C#N)(C)C(/C=C/C2=CN=C(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)N=C2)=C1C#N,1.32,1809.057,30.236,23.639,23.639,20.929,13.505,13.505,10.08,10.08,6.804,6.804,4.688,4.688,5.601,15.786,16.905,11.398,28.189,0,50.532,48.55,69.468,4.737,558.217,0.083,-6.23,5846744289,28.304,12.52,6.253,250.438,9.703,0.48,9.703,0.172,0.009,0.172,-0.881,-0.48,167.174,206,9.637,29.382,17.157,0,0,0,0,9.968,15.786,0,66.759,61.885,40.592,0,4.737,35.29,15.786,9.968,0,19.449,4.9,142.829,18.208,109.62,0,0,98.917,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,9,5,19,0,3,0,1,0,0,3,1,0,1,0,0,0,0,0,15.868,679.49,1.973097513,11.32451147
O=S(C1=C/C2=CN=C(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)N=C2)(C6=CC=CC=C6C/1=C(C#N)/C#N)=O,1.249,2068.021,30.52,23.24,24.056,21.49,13.609,15.092,9.788,11.674,7.05,8.886,5.004,6.73,9.837,18.942,20.947,16.951,22.626,24.536,24.275,66.745,51.266,0,589.157,0,-6.09,13384364991,28.049,12.026,5.414,255.114,13.313,0.311,13.313,0.207,0.061,0.207,-3.933,-0.311,171.836,210,4.9,17.712,5.824,9.837,0,0,0,18.386,10.524,0,72.806,60.18,46.156,9.801,8.418,50.701,10.524,9.968,0,4.895,4.9,154.581,12.138,110.74,-3.933,26.625,81.558,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,9,8,22,0,3,0,1,0,1,2,0,1,1,0,1,0,0,0,5.9799,661.84,1.83766645,11.30978803
CC(O/C1=C(C#N)/C#N)(C(/C=C/C2=NC=C(S2)C#CC3=CN=C(/C=C/C4=CC=C(C=C4)N(C5=C6SC=C5)C7=C6SC=C7)N=C3)=C1C#N)C(F)(F)F,1.037,2592.549,35.752,26.058,28.507,24.628,14.803,17.379,10.968,13.862,7.891,10.74,5.347,7.96,34.256,28.957,0,21.273,35.587,44.845,41.136,24.285,66.385,4.737,729.069,0.081,-6.29,3.91E+11,33.218,13.203,6.094,299.827,14.069,0.47,14.069,0.432,0.31,0.432,-4.955,-0.47,191.059,246,9.304,28.788,17.157,5.601,0,6.176,0,14.952,28.957,34.01,30.205,65.585,23.654,37.071,17.908,72.672,15.786,19.519,0,18.701,0,121.139,35.736,124.2,4.615,44.484,83.234,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,7,5,20,2,1,3,0,1,0,3,1,0,1,0,0,0,1,0,10.7886,810.22,1.579756945,11.3080124
O=S(C1=C/C(C=C2)=CC=C2C3=CN=C(N=C3)/C=C/C4=CC5=CC=C(C=C5O4)N(CC)CC)(C6=CC=CC=C6C/1=C(C#N)\C#N)=O,1.216,2193.748,31.553,24.598,25.415,21.854,14.36,15.844,10.31,12.197,7.717,9.553,5.398,7.125,9.837,18.942,20.947,22.712,40.873,12.142,48.802,36.414,46.914,4.417,609.183,0.111,-5.77,19689219918,29.308,12.08,5.533,260.993,13.355,0.457,13.355,0.207,0.067,0.207,-3.901,-0.457,175.922,220,9.317,29.055,5.824,9.837,0,0,0,18.386,10.524,0,42.465,67.468,59.323,9.801,12.835,50.295,10.524,9.968,0,18.743,17.989,118.38,23.265,123.88,-3.901,32.749,77.236,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,4,8,20,1,1,1,1,0,1,2,0,1,1,0,1,0,0,1,6.4311,687.72,1.463482698,11.30634126
CC(O/C1=C(C#N)/C#N)(C(F)(F)F)C(/C=C/C2=C(C(CCCC)=C(/C=C/C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)S2)CCCC)=C1C#N,1.555,2104.536,38.012,29.874,30.691,25.593,17.561,18.377,12.721,13.805,9.168,10.373,6.268,7.474,34.256,28.957,0,0,83.392,22.976,24.284,36.398,79.43,4.737,728.28,0.25,-5.82,5.45E+11,38.412,17.131,8.305,313.055,14.532,0.47,14.532,0.432,0.437,0.432,-4.929,-0.47,207.066,268,9.637,23.781,11.332,5.601,0,6.176,0,0,28.957,11.337,87.372,97.848,32.39,0,17.908,46.627,15.786,0,0,71.073,4.9,139.928,18.208,83.84,1.499,43.596,85.238,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,5,18,0,3,0,1,0,0,3,1,0,1,0,0,1,0,0,18.96,823.77,1.949015437,11.30184459
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=CC=C(S3)/C=C/C4=CN=C(/C=C5C(C)(C)C6=CC=CC=C6N\5C)N=C4)=O,1.22,1942.872,29.432,23.29,24.107,20.311,13.376,14.192,10.585,11.732,7.701,8.698,5.593,6.45,0,15.318,16.771,28.098,21.015,22.588,42.735,42.499,60.028,0,563.178,0.114,-5.37,4535110628,26.832,10.554,4.565,248.093,13.161,0.347,13.161,0.194,0.067,0.194,-0.183,-0.347,168.022,202,4.9,17.712,11.608,0,0,0,4.795,9.968,10.524,11.337,62.388,41.478,74.344,0,4.795,52.685,10.524,9.968,0,19.262,11.948,127.733,12.138,93.67,1.507,0,93.243,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,3,7,18,1,1,1,0,1,1,2,0,1,1,1,1,1,0,0,7.1269,721.77,1.977777871,11.30161512
CC(C)(C(/C=C/C1=CC=C(/C=C/C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)S1)=C/5C#N)OC5=C(C#N)/C#N,1.34,1784.08,29.529,23.152,23.969,20.429,13.283,14.099,9.945,11.092,6.747,7.762,4.709,5.526,5.601,15.786,16.905,5.573,32.38,0,11.337,86.669,71.652,4.737,562.183,0.083,-5.61,3983275048,27.938,12.276,5.933,249.639,9.738,0.48,9.738,0.172,0.045,0.172,-0.835,-0.48,169.461,202,9.637,29.382,11.332,0,0,0,0,0,15.786,11.337,60.683,80.094,32.39,0,4.737,46.627,15.786,0,0,19.449,4.9,140.934,18.208,83.84,1.618,0,93.132,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,9,5,18,0,3,0,1,0,0,3,1,0,1,0,0,1,0,0,18.6488,717.71,2.046132869,11.29553148
CC(C1=CC=CC=C1N/2C)(C)C2=C/C3=CC=C(/C=C/C4=C(C#N)/C(NC4=O)=C(C#N)/C#N)S3,1.647,1413.82,23.75,18.302,19.118,15.81,10.154,10.97,8.132,9.279,5.869,6.867,4.186,5.037,5.907,10.056,27.831,0,9.754,16.948,35.627,24.268,55.387,10.524,449.131,0.154,-4.38,31900392.06,21.837,8.28,3.635,195.847,12.326,0.347,12.326,0.257,0,0.257,-0.508,-0.347,128.235,160,10.217,18.208,5.573,0,5.907,0,4.795,0,15.786,11.337,32.047,41.991,33.601,16.843,4.795,35.083,15.786,5.317,0,19.262,11.948,85.905,18.208,103.71,1.567,0,79.183,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,6,13,1,1,1,0,1,0,3,0,0,1,1,0,1,0,0,17.6282,629.7,1.816849741,11.29141548
N#CC1=C(C(C2=CC=CC=C2)(C)O/C1=C(C#N)\C#N)/C=C/C3=CN=C(/C=C/C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)N=C3,1.222,2110.93,33.349,26.025,26.025,23.534,15.166,15.166,10.969,10.969,7.943,7.943,5.504,5.504,5.601,15.786,16.905,16.961,28.189,0,24.546,97.944,69.468,4.737,620.232,0.049,-7.01,1.05E+11,30.992,13.961,6.37,279.13,10.05,0.474,10.05,0.172,0.022,0.172,-1.088,-0.474,186.889,228,9.637,23.781,22.758,0,0,0,0,9.968,15.786,0,97.091,60.525,40.592,0,4.737,35.29,15.786,9.968,0,12.525,4.9,178.724,18.208,109.62,0,0,108.583,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,5,9,8,22,0,3,0,1,0,0,3,1,1,1,0,0,0,0,0,16.5783,723.79,1.996880263,11.29076831
CC(O/C1=C(C#N)/C#N)(C(/C=C/C2=NC(Cl)=C(S2)/C=C/C3=NC=C(C4=CC=C(C=C4)N(C5=C6SC=C5)C7=C6SC=C7)S3)=C1C#N)C(F)(F)F,1.114,2476.662,34.501,24.742,28.764,23.556,14.056,17.827,10.55,14.865,7.727,12.096,5.32,9.169,34.256,28.957,10.161,9.885,40.465,49.984,47.092,0,61.693,16.338,743.991,0.088,-5.01,1.30E+11,32.533,12.462,5.559,296.822,14.132,0.47,14.132,0.432,0.13,0.432,-4.966,-0.47,189.165,240,9.304,38.949,11.332,5.601,0,6.176,0,9.968,28.957,45.347,29.81,65.741,17.457,30.188,17.908,95.609,15.786,14.535,0,18.701,0,101.955,34.336,111.31,12.448,44.667,70.83,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,7,5,18,2,1,3,0,1,0,3,1,0,1,0,0,0,2,0,10.6381,774.66,1.611730322,11.28726661
CC(C)(C(/C=C/C1=C(CCCC)C(CCCC)=C(S1)/C=C/C2=C(C(CCCC)=C(S2)/C=C/C3=CC=C(N(C4=C5SC=C4)C6=C5SC=C6)C=C3)CCCC)=C/7C#N)OC7=C(C#N)\C#N,1.257,2808.269,44.511,37.398,40.664,30.706,22.486,25.878,16.627,20.627,11.887,16.268,8.531,12.881,5.601,15.786,16.905,5.573,70.629,79.867,0,77.409,115.87,4.737,904.334,0.352,-5.21,1.26E+14,45.803,20.979,9.668,389.462,10.211,0.48,10.211,0.172,0.074,0.172,-0.86,-0.48,272.566,322,9.304,29.382,11.332,0,0,0,0,0,15.786,45.347,77.663,152.361,30.769,20.433,4.737,96.16,15.786,4.567,0,124.193,0,123.039,23.895,85.53,7.399,2.392,117.792,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,5,19,2,1,3,0,1,0,3,1,0,1,0,0,2,0,0,19.5469,1072.41,2.009778459,11.28506606
O=S(C1=C/C(S2)=CC=C2/C=C/C3=CC=C(C=C3)N(C4=CC=CC=C4)C5=CC=CC=C5)(C6=CC=CC=C6C/1=C(C#N)/C#N)=O,1.273,2039.547,29.813,22.754,24.387,20.99,13.387,15.686,9.653,12.687,6.996,9.83,5.016,7.665,9.837,18.942,20.947,10.441,27.503,17.403,24.275,72.821,53.431,0,593.123,0,-5.47,9213527872,27.688,11.794,5.434,254.315,13.375,0.311,13.375,0.207,0.027,0.207,-3.871,-0.311,174.123,206,4.9,17.712,0,9.837,0,0,0,8.418,10.524,11.337,72.806,72.313,37.953,9.801,8.418,62.037,10.524,0,0,4.895,4.9,152.687,12.138,84.96,-2.445,26.751,75.778,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,9,8,21,0,3,0,1,0,1,2,0,1,1,0,1,1,0,0,8.3802,707.3,1.982757554,11.27841385
CC(C(F)(F)F)(C(/C=C/C(C=C1)=CC=C1C2=CN=C(/C=C/C3=CC=C(N(C)C)C=C3)N=C2)=C/4C#N)OC4=C(C#N)/C#N,1.543,1713.059,30.493,22.808,22.808,20,12.519,12.519,9.566,9.566,6.613,6.613,4.131,4.131,34.256,18.433,0,11.388,35.377,18.214,42.728,55.413,9.968,15.261,564.189,0.156,-5.66,1725303916,29.326,11.835,5.914,240.607,14.011,0.47,14.011,0.432,0.495,0.432,-4.922,-0.47,152.635,208,9.637,23.781,17.157,5.601,0,6.176,0,9.968,28.957,0,54.626,41.823,43.313,0,17.908,23.915,15.786,9.968,0,18.701,18.995,106.43,29.335,109.62,0,42.034,72.133,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3,5,16,0,1,0,1,0,0,3,1,0,1,0,0,0,0,1,17.4575,639.14,1.714153975,11.27327406
CC(C1=CC=CC=C1N2C)(/C2=C\C3=NC=C(/C=C/C4=C(CCCC)C(CCCC)=C(S4)/C=C/C(C(C)(C)O/5)=C(C#N)C5=C(C#N)\C#N)C=N3)C,1.483,2035.476,36.053,30.093,30.91,23.997,17.27,18.087,13.707,14.791,9.531,10.736,6.766,7.972,5.601,15.786,22.32,11.398,54.663,27.255,11.337,44.456,94.281,14.705,680.33,0.357,-5.23,1.07E+11,36.061,15.12,7.065,300.435,10.034,0.48,10.034,0.172,0.056,0.172,-0.862,-0.48,203.44,254,9.637,29.382,17.157,0,0,0,0,9.968,15.786,11.337,70.888,74.44,63.208,0,4.737,41.328,15.786,9.968,0,91.083,11.948,108.743,18.208,109.62,1.741,0,106.259,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,8,3,5,16,1,1,1,0,1,0,3,1,0,1,0,0,1,0,0,17.5819,826.35,1.981859579,11.27295047
N#C/C(C#N)=C1C2=CC=CC=C2C(C\1=C/C3=CC=C(S3)/C=C/C4=CC=C(C5=CC=C(C=C5)N(C)C)S4)=O,1.385,1666.78,25.941,20.227,21.86,17.978,11.544,13.177,8.623,10.885,6.07,8.167,4.21,5.983,0,15.318,11.356,22.273,14.631,16.128,46.949,44.433,53.45,0,515.113,0.065,-4.49,389421583.9,24.215,10.244,4.813,223.53,13.105,0.378,13.105,0.194,0.05,0.194,-0.163,-0.378,154.224,178,4.9,17.712,5.783,0,0,0,4.795,0,10.524,22.674,36.398,65.753,56.001,0,4.795,57.945,10.524,0,0,0,18.995,109.701,22.579,67.89,3.287,0,80.38,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,7,16,0,1,0,1,0,1,2,0,1,1,1,1,2,0,0,12.6882,669.92,1.954240023,11.27133588
N#C/C(C#N)=C1NC(C(/C=C/C2=CN=C(C#CC3=CC=C(C=C3)N(C4=C5SC=C4)C6=C5SC=C6)N=C2)=C/1C#N)=O,1.201,2059.393,27.639,20.336,21.969,19.605,11.692,13.452,8.404,10.236,6.123,8.095,4.286,6.224,5.907,10.056,22.416,11.388,11.251,26.509,53.282,30.335,54.586,10.524,551.062,0,-5.78,2395520325,24.551,10.174,4.224,235.241,12.29,0.319,12.29,0.257,0.048,0.257,-0.573,-0.319,152.615,186,9.884,18.208,5.573,5.824,5.907,0,4.795,9.968,15.786,22.674,11.996,59.155,29.208,37.276,4.795,55.09,15.786,19.852,0,0,0,104.996,35.736,131.18,3.507,2.262,91.565,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,7,6,18,2,1,3,0,1,0,3,0,0,1,1,0,0,0,0,7.1048,641.8,1.439591102,11.26964728
CC(C1=CC=CC=C1N2C)(/C2=C\C3=NC=C(C#CC4=CC=C(S4)/C=C/C(C(C)(C)O/5)=C(C#N)C5=C(C#N)\C#N)C=N3)C,1.327,1888.61,30.07,23.851,24.667,20.083,13.149,13.965,10.787,11.902,7.314,8.28,5.149,5.913,5.601,15.786,22.32,16.961,15.451,22.588,44.456,24.285,77.939,4.737,566.189,0.206,-5.41,2598367393,28.131,10.87,5.087,249.204,9.712,0.48,9.712,0.172,0.026,0.172,-0.856,-0.48,163.268,204,9.637,29.382,17.157,0,0,0,0,9.968,15.786,11.337,49.963,43.686,52.767,10.441,4.737,29.176,15.786,9.968,0,38.711,11.948,109.749,30.049,109.62,1.5,0,95.167,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,9,5,21,0,3,0,1,0,0,3,1,0,1,0,0,1,0,0,16.2491,710.74,1.941858843,11.25388873
